player,rank,age,official
Carlos Alcaraz,1,20,7675
Alexander Zverev,21,26,1630
Frances Tiafoe,10,25,3085
Alejandro Davidovich Fokina,34,24,1115
Daniil Medvedev,3,27,5890
Jiri Lehecka,36,21,1083
Christopher Eubanks,77,27,738
Laslo Djere,56,28,820
Jannik Sinner,8,21,3345
Daniel Elahi Galan,84,27,687
Guido Pella,334,33,150
Denis Shapovalov,29,24,1335
Andrey Rublev,7,25,4255
Alexander Bublik,26,26,1354
Lorenzo Musetti,15,21,2210
Stan Wawrinka,87,38,674
Grigor Dimitrov,24,32,1430
Roman Safiullin,94,25,631
Hubert Hurkacz,19,26,2060
Nicolas Jarry,28,27,1336
Matteo Berrettini,37,27,1082
Holger Rune,6,20,4510
Marton Fucsovics,66,31,777
Tommy Paul,17,26,2210
Christopher O'Connell,70,29,766
Stefanos Tsitsipas,5,24,4670
Quentin Halys,76,26,741
Mikael Ymer,61,24,796
Liam Broady,147,29,402
David Goffin,123,32,503
Maximilian Marterer,169,28,342
Novak Djokovic,2,36,7595
