player,rank
Iga Swiatek,1
Magda Linette,23
Daria Kasatkina,11
Elina Svitolina,75
Jessica Pegula,4
Lesia Tsurenko,56
Marketa Vondrousova,40
Marie Bouzkova,32
Ons Jabeur,6
Natalija Stevanovic,223
Beatriz Haddad Maia,13
Katie Boulter,88
Marta Kostyuk,35
Anastasia Potapova,22
Dalma Galfi,124
Anna Blinkova,39
Victoria Azarenka,19
Madison Keys,25
Ekaterina Alexandrova,21
Petra Martic,30
Belinda Bencic,14
Sofia Kenin,126
Elisabetta Cocciaretto,41
Ana Bogdan,61
Donna Vekic,20
Caroline Garcia,5
Bianca Andreescu,51
Petra Kvitova,9
Sorana Cirstea,36
Elena Rybakina,3
Mirra Andreeva,102
Aryna Sabalenka,2
